|neutral|,2017-08-25 , https://t.co/zE7bPtg8UI $Dow  $spx  $Nasdaq  $Russel,0.0
|neutral|,2017-08-25 ," #JonsMarketUpdate: not much movement on the market today- $DJIA up 30 pts, #sp500 up 4 pts &amp; $nasdaq down 6 pts. Tu… https://t.co/Tcgiz3aW7A",0.0
|neutral|,2017-08-25 , The $NASDAQ 100 went back and forth during the day forming a relatively neutral candle. https://t.co/ZwIf1Unerh,0.0
|negative|,2017-08-25 , Yellen about to squeeze your margin debt with her balance sheet #Feminism $DJIA $SPX $VIX $NASDAQ $GLD $VIX,-2.0
|negative|,2017-08-25 ," $SPX $NASDAQ $DJIA $ZB_F $ES_F $CL_F #FOMC #Yellen defends post-crisis bank rules under assault from Trump, Dimon https://t.co/7QVwWfW6j2",-3.0
|negative|,2017-08-25 , RT @AlpariRA: 2 min alert! High Impact news: 15:00 (GMT+1) $USD $SPX $DJIA $NASDAQ #US #Yellen speaks at Fed Conference in Jackson Hole #Fo…,-1.0
|negative|,2017-08-25 , 2 min alert! High Impact news: 15:00 (GMT+1) $USD $SPX $DJIA $NASDAQ #US #Yellen speaks at Fed Conference in Jackson Hole #Forex,-1.0
|negative|,2017-08-25 , 5 min alert! High Impact news: 15:00 (GMT+1) $USD $SPX $DJIA $NASDAQ #US #Yellen speaks at Fed Conference in Jackson Hole #Forex,-1.0
|negative|,2017-08-25 , RT @AlpariRA: 2 min alert! High Impact Upcoming news 13:30 (GMT+1) $USD $SPX $DJIA $NASDAQ Durable Goods Orders  Follow us @AlpariRA #Alpar…,-1.0
|negative|,2017-08-25 , 2 min alert! High Impact Upcoming news 13:30 (GMT+1) $USD $SPX $DJIA $NASDAQ Durable Goods Orders  Follow us @AlpariRA #Alpari #Forex,-1.0
|negative|,2017-08-25 , 5 min alert! High Impact Upcoming news 13:30 (GMT+1) $USD $SPX $DJIA $NASDAQ Durable Goods Orders  Follow us @AlpariRA #Alpari #Forex,-1.0
|positive|,2017-08-25 ," DOW RES21,900  S&amp;P RES2452 DOW SUPPORT: 21,720                              S&amp;P SUPPORT: 2430   $NASDAQ RESISTANCE 6300 $NASDAQ SUPPORT 6220",6.0
|neutral|,2017-08-25 , TY for the RT &gt; @TrdngDrivatives re: Nasdaq Day Traders Index   ►►► https://t.co/VshskceFDi …  $COMPQ $NASDAQ  $COMP #stocks,0.0
|neutral|,2017-08-25 , RT @sharptraders: Nasdaq Day Traders Index   ►►► https://t.co/VshskceFDi  $COMPQ $NASDAQ  $COMP #stocks,0.0
|neutral|,2017-08-25 , Nasdaq Day Traders Index   ►►► https://t.co/VshskceFDi  $COMPQ $NASDAQ  $COMP #stocks,0.0
|positive|,2017-08-24 ," RT @TopMarketGainer: Text Keyword ""GAINS"" to '67076' to Join Our SMS Mobile Text Alerts #NASDAQ #NYSE $NASDAQ $NYSE $TWTR $GOOG $AAPL $FB",3.0
|neutral|,2017-08-24 , https://t.co/KYpu96lHLy $Dow  $spx  $Nasdaq  $Russel,0.0
|neutral|,2017-08-24 ," #JonsMarketUpdate: Another volatile close today - $DJIA ⬇️29 pts, #sp500 ⬇️ 5 pts, &amp; $Nasdaq ⬇️ 7pts. Details tonig… https://t.co/feoZpDpyNf",0.0
|negative|,2017-08-24 , RT @AlpariRA: 5 min alert! Upcoming news: 15:00 (GMT+1) - $USD $SPX $DJIA $NASDAQ #US Existing Home Sales Follow us: @AlpariRA #Alpari #For…,-1.0
